open_time,open,high,low,close,volume,adx,di_pos,di_neg
1747806900000,1.3419,1.3853,1.3416,1.3825,2995257.4,34.30131932017154,46.59866088815252,6.220625517868716
1747807200000,1.3824,1.392,1.3631,1.3692,2951025.1,37.41586725672528,43.53596556568422,5.406973539043631
1747807500000,1.3692,1.3815,1.3627,1.377,1691104.1,40.257528400071635,39.881523683160765,5.131705444208133
1747807800000,1.377,1.3782,1.3538,1.3565,1496528.6,41.79735802005096,35.69376283108031,8.422952269535063
1747808100000,1.3565,1.3657,1.3411,1.3458,1490576.4,41.86667142478468,32.04081364831776,12.844413745711517
1747808400000,1.3458,1.354,1.3442,1.3489,958663.2,41.93103387203741,30.69318894966283,12.304182483376753
1747808700000,1.3488,1.3704,1.3476,1.3643,1352046.0,42.60346621824107,34.62443691249229,11.13117717864026
1747809000000,1.3642,1.3707,1.3559,1.365,1007043.8,43.23809807432049,32.587758284081296,10.435703803655914
1747809300000,1.3648,1.3771,1.3566,1.358,1201097.8,44.04689918795425,32.471109341538046,9.546014570692849
1747809600000,1.3581,1.3591,1.3513,1.3574,776492.5,44.20758775126309,31.375068595277366,11.517359064063974
1747809900000,1.3571,1.3606,1.3378,1.3403,776714.3,43.020091223221925,28.36148358943948,16.098302473773398
1747810200000,1.3404,1.3449,1.3356,1.3412,659162.8,41.7173257573606,27.213296394523535,16.404265055967223
1747810500000,1.3412,1.352,1.3371,1.3495,597384.8,40.88854250220362,28.547680180926015,15.333226031578773
1747810800000,1.3496,1.355,1.3401,1.3426,719346.5,40.27497167589847,27.994970870152123,14.325932378640827
1747811100000,1.3426,1.3478,1.337,1.3429,578891.9,39.38760807869837,26.629424324302324,15.027255343434184
1747811400000,1.3429,1.3432,1.3217,1.3237,1377274.5,37.17945654967621,24.108309457570947,20.34183259489745
1747811700000,1.3235,1.3251,1.3108,1.3161,1284278.4,34.72567450143054,22.577276075641013,23.89069699343674
1747812000000,1.3161,1.3194,1.3007,1.3031,1409908.1,33.10074996851045,20.72383696967382,26.363341715363592
1747812300000,1.303,1.3109,1.2976,1.305,1185280.4,31.781678724449772,19.497843713701503,26.182607978874067
1747812600000,1.305,1.3071,1.296,1.3052,1182204.8,30.657444131557526,18.513466225154257,25.588473314763515
1747812900000,1.3053,1.3109,1.295,1.2975,856303.7,29.277853051384017,18.9026203191291,23.73959936741794
1747813200000,1.2975,1.2988,1.2911,1.2939,700007.5,28.26810029391481,18.21618649458056,24.71680586991612
1747813500000,1.2936,1.3052,1.2876,1.3052,945206.1,26.751621526551727,19.705259445779035,22.688690221354715
1747813800000,1.3052,1.3107,1.2991,1.3073,605871.8,24.875907334218375,21.23022224238142,21.43999879225683
1747814100000,1.3071,1.3092,1.3001,1.3022,531263.1,23.134172727051695,20.286963499027657,20.487419677097183
1747814400000,1.3023,1.3114,1.3023,1.3071,558191.3,21.644635154992198,20.454276144472963,19.54210010219686
1747814700000,1.3072,1.312,1.3026,1.3048,368752.9,20.31759362051631,19.774380681899327,18.597866973505315
1747815000000,1.3048,1.3145,1.304,1.3131,560720.8,19.32635816719776,19.996035197265304,17.576267228348193
1747815300000,1.313,1.313,1.2975,1.3018,656205.1,18.16110240467483,18.380573451613653,19.52250898808435
1747815600000,1.3017,1.3046,1.2946,1.2972,579787.2,17.362593769370218,17.409612053154635,20.023161372572694
1747815900000,1.297,1.3071,1.2935,1.3053,443761.1,16.34141446730015,17.479467331978633,18.585241431257547
1747816200000,1.3053,1.3107,1.3009,1.3052,618184.4,15.350602159224064,18.495880957898407,17.604193891410127
1747816500000,1.3052,1.3087,1.2987,1.3073,404039.4,14.327604906771052,17.48181330095925,17.84520132495942
1747816800000,1.3072,1.3085,1.2974,1.2996,377478.7,13.528013628180531,16.406545318151586,17.46794383510578
1747817100000,1.2995,1.305,1.296,1.2988,325851.4,12.952073682322526,15.570304145014074,17.37046945598616
1747817400000,1.2988,1.3061,1.2959,1.3034,374040.1,12.266909984134006,15.29000718265626,16.353148191952467
1747817700000,1.3033,1.31,1.299,1.3001,338246.6,11.673525613685365,16.574209587595572,15.311678659981526
1747818000000,1.3001,1.309,1.2961,1.3068,516949.5,10.955369721750552,15.34035937757137,15.845363233147955
1747818300000,1.3071,1.3087,1.2929,1.3038,765278.1,10.709772942430641,13.968724772347525,16.23947999924765
1747818600000,1.3039,1.3052,1.2978,1.3014,310406.2,10.48171879020501,13.365940729932449,15.538707411899994
1747818900000,1.3014,1.304,1.2978,1.2994,294429.5,10.269954220281209,12.865029880259705,14.956368518605325
1747819200000,1.2993,1.3135,1.2981,1.313,540026.6,10.396073490009533,17.31350435338543,13.593637028590964
1747819500000,1.313,1.3132,1.3031,1.3062,444232.5,10.513184240471551,16.26669228275674,12.771736214357956
1747819800000,1.3062,1.3067,1.2992,1.3062,333075.5,9.984249238003695,15.516451410955359,14.580994440321444
1747820100000,1.3064,1.3139,1.3064,1.3119,405408.7,10.439591200004001,19.300482538145552,13.87353313699283
1747820400000,1.3119,1.3129,1.3007,1.3022,596976.5,9.994524001387646,17.824796668299587,16.385024870633817
1747820700000,1.3021,1.3074,1.2988,1.2996,343347.3,9.312312237271069,16.846950889129236,16.698158435763695
1747821000000,1.2994,1.302,1.2971,1.3007,226509.5,8.856834419652959,16.298331392639493,17.284187470035615
1747821300000,1.3005,1.3005,1.2942,1.295,359716.2,8.83745281224994,15.573817099900648,18.499148835860492
1747821600000,1.2949,1.2963,1.2834,1.2883,1038874.4,10.055276203592351,14.222546826907934,24.158150337396616
1747821900000,1.2882,1.2895,1.2823,1.2886,421665.5,11.293774816726073,13.517572456512841,23.717973544148442
1747822200000,1.2884,1.2925,1.2872,1.2876,454806.4,11.930903955616296,15.146582947338471,22.821240327650404
1747822500000,1.2875,1.2907,1.2832,1.2835,316023.2,12.94924087584918,14.3214161970829,24.483500701262862
1747822800000,1.2835,1.2843,1.2763,1.2789,617701.7,14.538643741699072,13.477956181685425,28.12123957656847
